FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
432282|Cedar Lake|Populated Place|11062|P1|0760|180760089|18|IN|1|089|Lake|41.3647578|-87.4411473|02/14/1979|03/20/2008
432290|Cedar Point|Populated Place|11080|U6|||18|IN|1|181|White|40.7089275|-86.7602892|02/14/1979|
432291|Cedar Shores|Populated Place|11098|U6|||18|IN|1|003|Allen|41.2275492|-85.0721921|02/14/1979|
432292|Cedarville|Populated Place|11116|U4|||18|IN|1|003|Allen|41.2036604|-85.0219129|02/14/1979|05/07/2008
432294|Celestine|Populated Place|11134|U6|0765|180765037|18|IN|1|037|Dubois|38.3847773|-86.7791599|02/14/1979|
432295|Cementville|Populated Place|11170|U6|0767|180767019|18|IN|1|019|Clark|38.34979|-85.7460744|02/14/1979|04/10/2014
432301|Centenary|Populated Place|11188|U6|||18|IN|1|165|Vermillion|39.6583695|-87.4733532|02/14/1979|
432308|Center|Populated Place|11692|U6|||18|IN|1|173|Warrick|38.0486563|-87.3430639|02/14/1979|
432309|Center|Populated Place|11440|U6|||18|IN|1|075|Jay|40.4450448|-85.0769138|02/14/1979|
432336|Center Point|Populated Place|11746|P1|0770|180770021|18|IN|1|021|Clay|39.4169862|-87.0772361|02/14/1979|04/10/2014
432345|Centerville|Populated Place|11818|U6|||18|IN|1|147|Spencer|37.9942169|-87.0633311|02/14/1979|
432346|Centerville|Populated Place|11836|P1|0780|180780177|18|IN|1|177|Wayne|39.8178246|-84.9963518|02/14/1979|03/20/2008
432348|Central|Populated Place|11854|U6|0782|180782061|18|IN|1|061|Harrison|38.0997912|-86.1585818|02/14/1979|
432350|Central Barren|Populated Place|11872|U6|0788|180788061|18|IN|1|061|Harrison|38.3642304|-86.0963623|02/14/1979|
432377|Ceylon|Populated Place|11908|U6|||18|IN|1|001|Adams|40.6067128|-84.9533005|02/14/1979|
